Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
Salicylic acid,O=C(O)c1ccccc1O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,6,6,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,8.85,8.85,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",DMA,acidic,pK2,pKa2,14.6,14.6,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",DMA,acidic,pK1,pKa1,9.2,9.2,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Succinic acid,O=C(O)CCC(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",DMA,acidic,pK2,pKa2,14,14,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Thymolphthalein,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OC(=O)c2ccccc21,"InChI=1S/C28H30O4/c1-15(2)20-13-23(17(5)11-25(20)29)28(22-10-8-7-9-19(22)27(31)32-28)24-14-21(16(3)4)26(30)12-18(24)6/h7-16,29-30H,1-6H3",DMA,indicator,pK1,pK1,16.1,16.1,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Triethanolamine,OCCN(CCO)CCO,"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2",DMA,basic,pK1,pKaH1,6.85,6.85,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Triethanolamine,OCCN(CCO)CCO,"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2",DMA,basic,pK1,pKaH1,6.6,6.6,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Trifluoromethanesulfonic acid,O=S(=O)(O)C(F)(F)F,"InChI=1S/CHF3O3S/c2-1(3,4)8(5,6)7/h(H,5,6,7)",DMA,acidic,pK1,pKa1,0.68,0.68,0.13,25,,Conductometric,C,->0,~10mM,,,pKa was obtained by using the Shedlovsky method. ,*2,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
m-Anisic acid,COc1cccc(C(=O)O)c1,"InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)",DMA,acidic,pK1,pKa1,11.1,11.1,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
m-Chlorobenzoic acid,O=C(O)c1cccc(Cl)c1,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",DMA,acidic,pK1,pKa1,9.8,9.8,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
m-Hydroxybenzoic acid,O=C(O)c1cccc(O)c1,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,10.75,10.75,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
m-Hydroxybenzoic acid,O=C(O)c1cccc(O)c1,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,10.6,10.6,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
m-Phthalic acid,O=C(O)c1cccc(C(=O)O)c1,"InChI=1S/C8H6O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK1,pKa1,9.65,9.65,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
m-Phthalic acid,O=C(O)c1cccc(C(=O)O)c1,"InChI=1S/C8H6O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK2,pKa2,11.1,11.1,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Anisic acid,COc1ccccc1C(=O)O,"InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)",DMA,acidic,pK1,pKa1,11.6,11.6,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",DMA,acidic,pK1,pKa1,9.6,9.6,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",DMA,acidic,pK1,pKa1,9.1,9.1,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Chlorobenzoic acid,O=C(O)c1ccccc1Cl,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",DMA,acidic,pK1,pKa1,9.25,9.25,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Phthalic acid,O=C(O)c1ccccc1C(=O)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK1,pKa1,5.4,5.4,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
o-Phthalic acid,O=C(O)c1ccccc1C(=O)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK2,pKa2,16,16,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Anisic acid,COc1ccc(C(=O)O)cc1,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",DMA,acidic,pK1,pKa1,11.8,11.8,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Chlorobenzoic acid,O=C(O)c1ccc(Cl)cc1,"InChI=1S/C7H5ClO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",DMA,acidic,pK1,pKa1,10.3,10.3,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Chlorophenol,Oc1ccc(Cl)cc1,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",DMA,acidic,pK1,pKa1,14.5,14.5,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Chlorophenol,Oc1ccc(Cl)cc1,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",DMA,acidic,pK1,pKa1,13.7,13.7,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,11.25,11.25,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",DMA,acidic,pK1,pKa1,10.5,10.5,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",DMA,acidic,pK1,pKa1,10.85,10.85,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Phthalic acid,O=C(O)c1ccc(C(=O)O)cc1,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK1,pKa1,9.75,9.75,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Phthalic acid,O=C(O)c1ccc(C(=O)O)cc1,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK2,pKa2,11.05,11.05,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976).  M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ","76B,76B1",Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Phthalic acid,O=C(O)c1ccc(C(=O)O)cc1,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK1,pKa1,8,8,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Phthalic acid,O=C(O)c1ccc(C(=O)O)cc1,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",DMA,acidic,pK2,pKa2,9.9,9.9,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
p-Toluenesulfonic acid,Cc1ccc(S(=O)(=O)O)cc1,"InChI=1S/C7H8O3S/c1-6-2-4-7(5-3-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)",DMA,acidic,pK1,pKa1,1.94,1.94,,25,,Conductometric,C,->0,~10mM,,,pKa was obtained by using the Shedlovsky method. ,*2,,"T. Fujinaga and I. Sakamoto, J. Electroanal. Chem., 85, 185 (1977). ",77F,,
2-Aminoethanol,NCCO,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",HMPA,basic,pK1,pKaH1,8.8,8.8,0.1,25,0.1,Potentiometric (hydrogen electrode),P(H),0.5,,,,"pKa was determined from paH in the solutions containing the acid, its conjugate base and 0.5M NaClO4. The hydrogen electrode was calibrated in dil. HClO4 (completely dissociated). ",*2,,"C. Madic and B: Tremillon, Bull. Soc. Chim. Fr., 1634 (1968).",68M,"Group A: Complete dissociation of HClO4, pKa(chloroacetic acid)=8.0. ",A
